File Version;BWSpec4.02_14
Date;2017-10-31 15:32:57
title;BWS415-785S-PRB
model;BTC162-785S-SYS
c code;ORX
operator;
port1;0
baud1;3
pixel_start;0
pixel_end;2047
step;1
units;3
bkcolor;16777215
show_mode;3
data_mode;0
pixel_mode;0
intigration times(ms);1000
average number;1
time_multiply;6
spectrometer_type ;14
yaxis;1
yaxis_min;0
yaxis_max;60000
xaxis;1
xaxis_min;183
xaxis_max;1973
irrands_DispWLMin;100
irrands_DispWLMax;1000
yaxis_min_6;0
yaxis_max_6;0
irradiance_unit;0
Color_Data_Flag;0
Color_StartWL;770
Color_EndWL;770
Color_IncWL;10
power_unit_index;3
photometric_index;0
Illuminant_index;3
observer_index;0
lab_l;0
lab_a;0
lab_b;0
radiometric_flag;0
coefs_a0;769,425552688777
coefs_a1;0,153008995292799
coefs_a2;-4,59156988979995E-06
coefs_a3;-6,53524460424591E-10
coefs_b0;-5863,28138644893
coefs_b1;10,5221106288986
coefs_b2;-0,00615548365754513
coefs_b3;3,09832302014358E-06
all_data_save;1
select_option;-1
interval_time;1000
pixel_num;2048
sel_pixel_start;2016
sel_pixel_end;0
sel_pixel_delta;1
dark_compensate;0
dark_compensate_value_1;0
dark_compensate_value_2;0
dark_compensate_value_3;0
monitor pixel_0;0
monitor pixel_1;0
monitor pixel_2;0
monitor pixel_3;0
monitor pixel_4;0
monitor pixel_5;0
vertical_select_flag;0
vertical_line3;0
vertical_line4;0
vertical_line3_wv;1
vertical_line4_wv;1
vertical_line_flag;0
vertical_line_ratio;0
laser_wavelength;784,87
laser_powerlevel;20
overlay_js;0
Relative Intensity Correction Flag;0
Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (lumen) #1;
0;   ;   ;   ;1044,0000;65535,0000;1097,0000;53,0000;0,0000;0,0000;0,0000;
1;   ;   ;   ;971,0000;65535,0000;1060,0000;89,0000;0,0000;0,0000;0,0000;
2;   ;   ;   ;1012,0000;65535,0000;1011,0000;-1,0000;0,0000;0,0000;0,0000;
3;   ;   ;   ;977,0000;65535,0000;1109,0000;132,0000;0,0000;0,0000;0,0000;
4;   ;   ;   ;1010,0000;65535,0000;1079,0000;69,0000;0,0000;0,0000;0,0000;
5;   ;   ;   ;1061,0000;65535,0000;1082,0000;21,0000;0,0000;0,0000;0,0000;
6;   ;   ;   ;973,0000;65535,0000;1073,0000;100,0000;0,0000;0,0000;0,0000;
7;   ;   ;   ;979,0000;65535,0000;1127,0000;148,0000;0,0000;0,0000;0,0000;
8;   ;   ;   ;1004,0000;65535,0000;1139,0000;135,0000;0,0000;0,0000;0,0000;
9;   ;   ;   ;1009,0000;65535,0000;1036,0000;27,0000;0,0000;0,0000;0,0000;
10;   ;   ;   ;917,0000;65535,0000;957,0000;40,0000;0,0000;0,0000;0,0000;
11;   ;   ;   ;1036,0000;65535,0000;1146,0000;110,0000;0,0000;0,0000;0,0000;
12;   ;   ;   ;908,0000;65535,0000;1030,0000;122,0000;0,0000;0,0000;0,0000;
13;   ;   ;   ;934,0000;65535,0000;1080,0000;146,0000;0,0000;0,0000;0,0000;
14;   ;   ;   ;1085,0000;65535,0000;1200,0000;115,0000;0,0000;0,0000;0,0000;
