File Version;BWSpec4.02_14
Date;2020-06-04 11:45:00
title;BWS415-785S-PRB
model;BTC162-785S-SYS
c code;ORX
operator;
port1;0
baud1;3
pixel_start;0
pixel_end;2047
step;1
units;3
bkcolor;16777215
show_mode;3
data_mode;0
pixel_mode;0
intigration times(ms);1000
average number;1
time_multiply;1
spectrometer_type ;14
yaxis;1
yaxis_min;-128
yaxis_max;60000
xaxis;1
xaxis_min;204
xaxis_max;2047
irrands_DispWLMin;100
irrands_DispWLMax;1000
yaxis_min_6;0
yaxis_max_6;0
irradiance_unit;0
Color_Data_Flag;0
Color_StartWL;770
Color_EndWL;770
Color_IncWL;10
power_unit_index;3
photometric_index;0
Illuminant_index;3
observer_index;0
lab_l;0
lab_a;0
lab_b;0
radiometric_flag;0
coefs_a0;769,425552688777
coefs_a1;0,153008995292799
coefs_a2;-4,59156988979995E-06
coefs_a3;-6,53524460424591E-10
coefs_b0;-5863,28138644893
coefs_b1;10,5221106288986
coefs_b2;-0,00615548365754513
coefs_b3;3,09832302014358E-06
all_data_save;1
select_option;-1
interval_time;1000
pixel_num;2048
sel_pixel_start;2016
sel_pixel_end;0
sel_pixel_delta;1
dark_compensate;0
dark_compensate_value_1;0
dark_compensate_value_2;0
dark_compensate_value_3;0
monitor pixel_0;0
monitor pixel_1;0
monitor pixel_2;0
monitor pixel_3;0
monitor pixel_4;0
monitor pixel_5;0
vertical_select_flag;0
vertical_line3;0
vertical_line4;0
vertical_line3_wv;1
vertical_line4_wv;1
vertical_line_flag;0
vertical_line_ratio;0
laser_wavelength;784,87
laser_powerlevel;10
overlay_js;0
Relative Intensity Correction Flag;0
Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (lumen) #1;
0;   ;   ;   ;816,0000;65535,0000;922,0000;106,0000;0,0000;0,0000;0,0000;
1;   ;   ;   ;884,0000;65535,0000;909,0000;25,0000;0,0000;0,0000;0,0000;
2;   ;   ;   ;841,0000;65535,0000;878,0000;37,0000;0,0000;0,0000;0,0000;
3;   ;   ;   ;837,0000;65535,0000;835,0000;-2,0000;0,0000;0,0000;0,0000;
4;   ;   ;   ;884,0000;65535,0000;966,0000;82,0000;0,0000;0,0000;0,0000;
5;   ;   ;   ;939,0000;65535,0000;886,0000;-53,0000;0,0000;0,0000;0,0000;
6;   ;   ;   ;881,0000;65535,0000;833,0000;-48,0000;0,0000;0,0000;0,0000;
7;   ;   ;   ;831,0000;65535,0000;870,0000;39,0000;0,0000;0,0000;0,0000;
8;   ;   ;   ;889,0000;65535,0000;874,0000;-15,0000;0,0000;0,0000;0,0000;
9;   ;   ;   ;907,0000;65535,0000;872,0000;-35,0000;0,0000;0,0000;0,0000;
10;   ;   ;   ;848,0000;65535,0000;849,0000;1,0000;0,0000;0,0000;0,0000;
11;   ;   ;   ;856,0000;65535,0000;825,0000;-31,0000;0,0000;0,0000;0,0000;
12;   ;   ;   ;881,0000;65535,0000;903,0000;22,0000;0,0000;0,0000;0,0000;
13;   ;   ;   ;889,0000;65535,0000;915,0000;26,0000;0,0000;0,0000;0,0000;
14;   ;   ;   ;872,0000;65535,0000;953,0000;81,0000;0,0000;0,0000;0,0000;
15;   ;   ;   ;844,0000;65535,0000;851,0000;7,0000;0,0000;0,0000;0,0000;
16;   ;   ;   ;863,0000;65535,0000;825,0000;-38,0000;0,0000;0,0000;0,0000;
17;   ;   ;   ;903,0000;65535,0000;851,0000;-52,0000;0,0000;0,0000;0,0000;
18;   ;   ;   ;863,0000;65535,0000;861,0000;-2,0000;0,0000;0,0000;0,0000;
19;   ;   ;   ;870,0000;65535,0000;832,0000;-38,0000;0,0000;0,0000;0,0000;
