ENLIGHTEN Version,2.2.7
Measurement ID,20201009-093810-270034-WP-00702
Serial Number,WP-00702
Model,WP-785-C2-LMMFC
Label,09:38:10 WP-00702
Declared Match,
Declared Score,0
Scan Averaging,10
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,0
ROI Pixel End,1023
Slit Width,25
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,1000
Timestamp,2020-10-09 09:38:10.270034
Note,
Temperature,-14.52968311496079
CCD C0,790.7625122070312
CCD C1,0.28129664063453674
CCD C2,1.8011121937888674e-05
CCD C3,-2.512435592905149e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.051
Laser Enable,True
Laser Power,50.0
Laser Temperature,-95.6635622537485
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Processed,Raw,Dark,Reference
0,790.76,92.00,21250.10,21250.10,,
1,791.04,96.50,21272.20,21272.20,,
2,791.33,101.00,21242.80,21242.80,,
3,791.61,105.49,21113.10,21113.10,,
4,791.89,109.98,20833.80,20833.80,,
5,792.17,114.46,20414.00,20414.00,,
6,792.45,118.95,19864.40,19864.40,,
7,792.73,123.43,19324.10,19324.10,,
8,793.01,127.91,18755.60,18755.60,,
9,793.30,132.38,18231.60,18231.60,,
10,793.58,136.86,17777.20,17777.20,,
11,793.86,141.33,17438.50,17438.50,,
12,794.14,145.80,17129.70,17129.70,,
13,794.42,150.26,16786.90,16786.90,,
14,794.70,154.73,16367.20,16367.20,,
15,794.99,159.19,15941.30,15941.30,,
16,795.27,163.64,15457.90,15457.90,,
17,795.55,168.10,14982.50,14982.50,,
18,795.83,172.55,14689.30,14689.30,,
19,796.11,177.00,14680.40,14680.40,,
20,796.40,181.45,14983.70,14983.70,,
21,796.68,185.89,15531.40,15531.40,,
22,796.96,190.34,16192.90,16192.90,,
23,797.24,194.78,16985.40,16985.40,,
24,797.52,199.21,17900.90,17900.90,,
25,797.81,203.65,18820.40,18820.40,,
26,798.09,208.08,19862.70,19862.70,,
27,798.37,212.51,21025.90,21025.90,,
28,798.65,216.93,22366.80,22366.80,,
29,798.93,221.36,23778.00,23778.00,,
30,799.22,225.78,25394.10,25394.10,,
31,799.50,230.20,26881.10,26881.10,,
32,799.78,234.61,27967.20,27967.20,,
33,800.06,239.03,28167.60,28167.60,,
34,800.35,243.44,27069.30,27069.30,,
35,800.63,247.84,24819.40,24819.40,,
36,800.91,252.25,21885.60,21885.60,,
37,801.19,256.65,19017.20,19017.20,,
38,801.48,261.05,16613.20,16613.20,,
39,801.76,265.45,14736.70,14736.70,,
40,802.04,269.84,13318.70,13318.70,,
41,802.32,274.24,12199.20,12199.20,,
42,802.61,278.63,11307.60,11307.60,,
43,802.89,283.01,10550.50,10550.50,,
44,803.17,287.40,9896.50,9896.50,,
45,803.46,291.78,9330.40,9330.40,,
