,mM,,uM
,,,
,,,
614.838,5019,615.137,1286
615.629,5019,615.928,1283
616.421,4971,616.719,1277
617.212,4954,617.51,1276
618.003,4971,618.3,1273
618.794,4960,619.091,1274
619.585,4936,619.881,1269
620.375,4934,620.671,1267
621.166,4892,621.461,1263
621.956,4883,622.251,1267
622.746,4881,623.04,1252
623.536,4890,623.83,1256
624.326,4862,624.619,1253
625.116,4854,625.408,1261
625.905,4853,626.197,1267
626.694,4889,626.986,1262
627.484,4860,627.775,1267
628.273,4873,628.563,1267
629.062,4833,629.352,1257
629.85,4842,630.14,1263
630.639,4873,630.928,1263
631.427,4918,631.716,1261
632.215,4872,632.503,1252
633.004,4904,633.291,1257
633.792,4875,634.078,1262
634.579,4916,634.866,1260
635.367,4945,635.653,1273
636.154,4907,636.44,1250
636.942,5001,637.226,1265
637.729,4984,638.013,1255
638.516,5009,638.799,1268
639.303,5010,639.586,1261
640.089,4980,640.372,1261
640.876,4949,641.158,1250
641.662,4930,641.944,1261
642.448,4894,642.729,1253
643.234,4880,643.515,1244
644.02,4886,644.3,1258
644.806,4845,645.086,1251
645.592,4873,645.871,1254
646.377,4859,646.655,1249
647.162,4870,647.44,1253
647.947,4837,648.225,1250
648.732,4854,649.009,1251
649.517,4885,649.793,1249
650.302,4884,650.578,1244
651.086,4838,651.362,1248
651.871,4835,652.145,1248
652.655,4877,652.929,1234
653.439,4826,653.712,1251
654.223,4846,654.496,1246
655.006,4850,655.279,1250
655.79,4828,656.062,1244
656.573,4833,656.845,1252
657.356,4832,657.628,1249
658.139,4835,658.41,1249
658.922,4852,659.192,1231
659.705,4798,659.975,1225
660.488,4814,660.757,1238
661.27,4792,661.539,1240
662.052,4839,662.32,1229
662.834,4820,663.102,1241
663.616,4837,663.883,1252
664.398,4794,664.665,1244
665.18,4784,665.446,1222
665.961,4750,666.227,1220
666.743,4771,667.008,1241
667.524,4807,667.788,1235
668.305,4781,668.569,1255
669.086,4800,669.349,1251
669.866,4809,670.129,1237
670.647,4752,670.909,1244
671.427,4794,671.689,1233
672.208,4766,672.469,1226
672.988,4759,673.249,1231
673.768,4766,674.028,1233
674.547,4715,674.807,1231
675.327,4749,675.586,1234
676.107,4759,676.365,1226
676.886,4744,677.144,1231
677.665,4726,677.923,1231
678.444,4727,678.701,1223
679.223,4739,679.48,1224
680.001,4741,680.258,1220
680.78,4713,681.036,1220
681.558,4686,681.814,1219
682.337,4703,682.591,1223
683.115,4646,683.369,1223
683.893,4656,684.146,1226
684.67,4642,684.923,1224
685.448,4673,685.701,1210
686.225,4679,686.477,1228
687.003,4675,687.254,1224
687.78,4728,688.031,1223
688.557,4669,688.807,1236
689.333,4720,689.584,1217
690.11,4643,690.36,1214
690.887,4679,691.136,1227
691.663,4678,691.912,1214
692.439,4630,692.687,1213
693.215,4647,693.463,1219
693.991,4629,694.238,1222
694.767,4683,695.013,1216
695.542,4665,695.788,1225
696.318,4662,696.563,1222
697.093,4662,697.338,1217
697.868,4655,698.113,1215
698.643,4647,698.887,1216
699.418,4648,699.661,1222
700.192,4618,700.435,1221
700.967,4606,701.209,1212
701.741,4651,701.983,1221
702.515,4609,702.757,1217
